HASHOVANIE- nahodne slova
insert my10 0.0000
insert not10 0.0000
search my10 0.0020
search not10 0.0370
insert my100 0.0010
insert not100 0.0010
search my100 0.0020
search not100 0.0030
insert my1000 0.0120
insert not1000 0.0010
search my1000 0.0020
search not1000 0.0020
insert my10000 0.7200
insert not10000 0.0170
search my10000 0.0020
search not10000 0.0020
insert my100000 69.2750
insert not100000 0.1130
search my100000 0.0030
search not100000 0.0020
insert my10 0.0000
insert not10 0.0000
search my10 0.0260
search not10 0.0010
insert my100 0.0000
insert not100 0.0000
search my100 0.0020
search not100 0.0020
insert my1000 0.0100
insert not1000 0.0020
search my1000 0.0020
search not1000 0.0020
insert my10000 0.9210
insert not10000 0.0120
search my10000 0.0020
search not10000 0.0020
insert my100000 68.7060
insert not100000 0.1220
search my100000 0.0020
search not100000 0.0020
insert my10 0.0000
insert not10 0.0000
search my10 0.0020
search not10 0.0240
insert my100 0.0010
insert not100 0.0000
search my100 0.0020
search not100 0.0020
insert my1000 0.0090
insert not1000 0.0020
search my1000 0.0030
search not1000 0.0080
insert my10000 0.7110
insert not10000 0.0140
search my10000 0.0020
search not10000 0.0010
insert my100000 69.7060
insert not100000 0.1150
search my100000 0.0040
search not100000 0.0020
insert my10 0.0000
insert not10 0.0000
search my10 0.0020
search not10 0.0050
insert my100 0.0000
insert not100 0.0010
search my100 0.0020
search not100 0.0020
insert my1000 0.0110
insert not1000 0.0030
search my1000 0.0010
search not1000 0.0020
insert my10000 0.7100
insert not10000 0.0220
search my10000 0.0020
search not10000 0.0090
insert my100000 69.9340
insert not100000 0.1240
search my100000 0.0020
search not100000 0.0230
insert my10 0.0000
insert not10 0.0000
search my10 0.0040
search not10 0.0020
insert my100 0.0010
insert not100 0.0000
search my100 0.0020
search not100 0.0020
insert my1000 0.0150
insert not1000 0.0030
search my1000 0.0020
search not1000 0.0010
insert my10000 0.8350
insert not10000 0.0210
search my10000 0.0020
search not10000 0.0020
insert my100000 68.5420
insert not100000 0.1140
search my100000 0.0230
search not100000 0.0030
insert my10 0.0000
insert not10 0.0000
search my10 0.0250
search not10 0.0030
insert my100 0.0000
insert not100 0.0000
search my100 0.0020
search not100 0.0250
insert my1000 0.0130
insert not1000 0.0030
search my1000 0.0020
search not1000 0.0020
insert my10000 0.7320
insert not10000 0.0250
search my10000 0.0020
search not10000 0.0010
insert my100000 68.4210
insert not100000 0.1180
search my100000 0.0230
search not100000 0.0030
insert my10 0.0000
insert not10 0.0000
search my10 0.0240
search not10 0.0030
insert my100 0.0000
insert not100 0.0010
search my100 0.0050
search not100 0.0030
insert my1000 0.0130
insert not1000 0.0030
search my1000 0.0020
search not1000 0.0020
insert my10000 0.7100
insert not10000 0.0170
search my10000 0.0020
search not10000 0.0020
insert my100000 68.3520
insert not100000 0.1140
search my100000 0.0270
search not100000 0.0020
insert my10 0.0000
insert not10 0.0000
search my10 0.0020
search not10 0.0040
insert my100 0.0000
insert not100 0.0000
search my100 0.0020
search not100 0.0020
insert my1000 0.0110
insert not1000 0.0030
search my1000 0.0010
search not1000 0.0250
insert my10000 0.7090
insert not10000 0.0110
search my10000 0.0020
search not10000 0.0020
insert my100000 68.3750
insert not100000 0.1100
search my100000 0.0240
search not100000 0.0030
insert my10 0.0000
insert not10 0.0000
search my10 0.0270
search not10 0.0020
insert my100 0.0000
insert not100 0.0000
search my100 0.0020
search not100 0.0030
insert my1000 0.0090
insert not1000 0.0010
search my1000 0.0020
search not1000 0.0280
insert my10000 0.7220
insert not10000 0.0120
search my10000 0.0030
search not10000 0.0020
insert my100000 68.1600
insert not100000 0.1060
search my100000 0.0230
search not100000 0.0020
insert my10 0.0000
insert not10 0.0000
search my10 0.0240
search not10 0.0020
insert my100 0.0000
insert not100 0.0000
search my100 0.0320
search not100 0.0030
insert my1000 0.0110
insert not1000 0.0020
search my1000 0.0020
search not1000 0.0020
insert my10000 0.7210
insert not10000 0.0210
search my10000 0.0040
search not10000 0.0020
insert my100000 68.6140
insert not100000 0.1170
search my100000 0.0030
search not100000 0.0030

STROMY- nahodne cisla
insert bvs10 0.0000
insert avl10 0.0000
insert rb10 0.0010
search bvs10 0.0430
search avl10 0.0010
search rb10 0.0080
insert bvs100 0.0000
insert avl100 0.0000
insert rb100 0.0000
search bvs100 0.0010
search avl100 0.0000
search rb100 0.0000
insert bvs1000 0.0020
insert avl1000 0.0020
insert rb1000 0.0030
search bvs1000 0.0010
search avl1000 0.0010
search rb1000 0.0000
insert bvs10000 0.0120
insert avl10000 0.0180
insert rb10000 0.0130
search bvs10000 0.0000
search avl10000 0.0010
search rb10000 0.0010
insert bvs100000 0.1360
insert avl100000 0.2340
insert rb100000 0.1510
search bvs100000 0.0000
search avl100000 0.0000
search rb100000 0.0010
insert bvs10 0.0000
insert avl10 0.0000
insert rb10 0.0000
search bvs10 0.0000
search avl10 0.0000
search rb10 0.0000
insert bvs100 0.0000
insert avl100 0.0000
insert rb100 0.0000
search bvs100 0.0000
search avl100 0.0000
search rb100 0.0000
insert bvs1000 0.0010
insert avl1000 0.0010
insert rb1000 0.0010
search bvs1000 0.0000
search avl1000 0.0000
search rb1000 0.0010
insert bvs10000 0.0080
